total_bill,tip,gender,smoker,day,time,people
160.0310, 20.0000,Male,No,Sat,Dinner,3
160.0930, 30.0070,Female,No,Sat,Dinner,3
180.0690, 20.0310,Male,No,Sat,Dinner,3
310.0270, 50.0000,Male,No,Sat,Dinner,3
160.0040, 20.0240,Male,No,Sat,Dinner,3
170.0460, 20.0540,Male,No,Sun,Dinner,2
130.0940, 30.0060,Male,No,Sun,Dinner,2
90.0680, 10.0320,Male,No,Sun,Dinner,2
300.0400, 50.0600,Male,No,Sun,Dinner,4
180.0290, 30.0000,Male,No,Sun,Dinner,2
220.0230, 50.0000,Male,No,Sun,Dinner,2
320.0400, 60.0000,Male,No,Sun,Dinner,4
280.0550, 20.0050,Male,No,Sun,Dinner,3
180.0040, 30.0000,Male,No,Sun,Dinner,2
120.0540, 20.0500,Male,No,Sun,Dinner,2
100.0290, 20.0600,Female,No,Sun,Dinner,2
340.0810, 50.0200,Female,No,Sun,Dinner,4
90.0940, 10.0560,Male,No,Sun,Dinner,2
250.0560, 40.0340,Male,No,Sun,Dinner,4
190.0490, 30.0510,Male,No,Sun,Dinner,2
380.0010, 30.0000,Male,Yes,Sat,Dinner,4
260.0410, 10.0500,Female,No,Sat,Dinner,2
110.0240, 10.0760,Male,Yes,Sat,Dinner,2
480.0270, 60.0730,Male,No,Sat,Dinner,4
200.0290, 30.0210,Male,Yes,Sat,Dinner,2
130.0810, 20.0000,Male,Yes,Sat,Dinner,2
110.0020, 10.0980,Male,Yes,Sat,Dinner,2
180.0290, 30.0760,Male,Yes,Sat,Dinner,4
170.0590, 20.0640,Male,No,Sat,Dinner,3
200.0080, 30.0150,Male,No,Sat,Dinner,3
160.0450, 20.0470,Female,No,Sat,Dinner,2
30.0070, 10.0000,Female,Yes,Sat,Dinner,1
200.0230, 20.0010,Male,No,Sat,Dinner,2
150.0010, 20.0090,Male,Yes,Sat,Dinner,2
120.0020, 10.0970,Male,No,Sat,Dinner,2
170.0070, 30.0000,Female,No,Sat,Dinner,3
260.0860, 30.0140,Female,Yes,Sat,Dinner,2
250.0280, 50.0000,Female,Yes,Sat,Dinner,2
140.0730, 20.0200,Female,No,Sat,Dinner,2
100.0510, 10.0250,Male,No,Sat,Dinner,2
170.0920, 30.0080,Male,Yes,Sat,Dinner,2
270.0200, 40.0000,Male,No,Thur,Lunch,4
220.0760, 30.0000,Male,No,Thur,Lunch,2
170.0290, 20.0710,Male,No,Thur,Lunch,2
190.0440, 30.0000,Male,Yes,Thur,Lunch,2
160.0660, 30.0400,Male,No,Thur,Lunch,2
100.0070, 10.0830,Female,No,Thur,Lunch,1
320.0680, 50.0000,Male,Yes,Thur,Lunch,2
150.0980, 20.0030,Male,No,Thur,Lunch,2
340.0830, 50.0170,Female,No,Thur,Lunch,4
130.0030, 20.0000,Male,No,Thur,Lunch,2
180.0280, 40.0000,Male,No,Thur,Lunch,2
240.0710, 50.0850,Male,No,Thur,Lunch,2
210.0160, 30.0000,Male,No,Thur,Lunch,2
280.0970, 30.0000,Male,Yes,Fri,Dinner,2
220.0490, 30.0500,Male,No,Fri,Dinner,2
50.0750, 10.0000,Female,Yes,Fri,Dinner,2
160.0320, 40.0300,Female,Yes,Fri,Dinner,2
220.0750, 30.0250,Female,No,Fri,Dinner,2
400.0170, 40.0730,Male,Yes,Fri,Dinner,4
270.0280, 40.0000,Male,Yes,Fri,Dinner,2
120.0030, 10.0500,Male,Yes,Fri,Dinner,2
210.0010, 30.0000,Male,Yes,Fri,Dinner,2
120.0460, 10.0500,Male,No,Fri,Dinner,2
130.0170, 20.0200,Female,No,Fri,Dinner,2
160.0120, 30.0020,Male,No,Fri,Dinner,2
180.0690, 30.0010,Male,No,Fri,Dinner,2
320.0830, 50.0000,Female,No,Fri,Dinner,2
200.092,40.008,Female,No,Sat,Dinner,2
150.036,10.064,Male,Yes,Sat,Dinner,2
200.049,40.006,Male,Yes,Sat,Dinner,2
250.021,40.029,Male,Yes,Sat,Dinner,2
180.024,30.076,Male,No,Sat,Dinner,2
140.031,40.00,Female,Yes,Sat,Dinner,2
140.00,30.00,Male,No,Sat,Dinner,2
70.025,10.00,Female,No,Sat,Dinner,1
380.007,40.00,Male,No,Sun,Dinner,3
230.095,20.055,Male,No,Sun,Dinner,2
250.071,40.00,Female,No,Sun,Dinner,3
170.031,30.05,Female,No,Sun,Dinner,2
290.093,50.007,Male,No,Sun,Dinner,4
100.065,10.05,Female,No,Thur,Lunch,2
120.043,10.08,Female,No,Thur,Lunch,2
240.008,20.092,Female,No,Thur,Lunch,4
110.069,20.031,Male,No,Thur,Lunch,2
130.042,10.068,Female,No,Thur,Lunch,2
140.026,20.05,Male,No,Thur,Lunch,2
150.095,20.00,Male,No,Thur,Lunch,2
120.048,20.052,Female,No,Thur,Lunch,2
290.08,40.02,Female,No,Thur,Lunch,6
80.052,10.048,Male,No,Thur,Lunch,2
140.052,20.00,Female,No,Thur,Lunch,2
110.038,20.00,Female,No,Thur,Lunch,2
220.082,20.018,Male,No,Thur,Lunch,3
190.008,10.05,Male,No,Thur,Lunch,2
200.027,20.083,Female,No,Thur,Lunch,2
110.017,10.05,Female,No,Thur,Lunch,2
120.026,20.00,Female,No,Thur,Lunch,2
180.026,30.025,Female,No,Thur,Lunch,2
80.051,10.025,Female,No,Thur,Lunch,2
100.033,20.00,Female,No,Thur,Lunch,2
140.015,20.00,Female,No,Thur,Lunch,2
160.00,20.00,Male,Yes,Thur,Lunch,2
130.016,20.075,Female,No,Thur,Lunch,2
170.047,30.05,Female,No,Thur,Lunch,2
340.03,60.07,Male,No,Thur,Lunch,6
410.019,50.00,Male,No,Thur,Lunch,5
270.005,50.00,Female,No,Thur,Lunch,6
160.043,20.03,Female,No,Thur,Lunch,2
80.035,10.05,Female,No,Thur,Lunch,2
180.064,10.036,Female,No,Thur,Lunch,3
110.087,10.063,Female,No,Thur,Lunch,2
90.078,10.073,Male,No,Thur,Lunch,2
70.051,20.00,Male,No,Thur,Lunch,2
140.007,20.05,Male,No,Sun,Dinner,2
130.013,20.00,Male,No,Sun,Dinner,2
170.026,20.074,Male,No,Sun,Dinner,3
240.055,20.00,Male,No,Sun,Dinner,4
190.077,20.00,Male,No,Sun,Dinner,4
290.085,50.014,Female,No,Sun,Dinner,5
480.017,50.00,Male,No,Sun,Dinner,6
250.00,30.075,Female,No,Sun,Dinner,4
130.039,20.061,Female,No,Sun,Dinner,2
160.049,20.00,Male,No,Sun,Dinner,4
210.05,30.05,Male,No,Sun,Dinner,4
120.066,20.05,Male,No,Sun,Dinner,2
160.021,20.00,Female,No,Sun,Dinner,3
130.081,20.00,Male,No,Sun,Dinner,2
170.051,30.00,Female,Yes,Sun,Dinner,2
240.052,30.048,Male,No,Sun,Dinner,3
200.076,20.024,Male,No,Sun,Dinner,2
310.071,40.05,Male,No,Sun,Dinner,4
100.059,10.061,Female,Yes,Sat,Dinner,2
100.063,20.00,Female,Yes,Sat,Dinner,2
500.081,100.00,Male,Yes,Sat,Dinner,3
150.081,30.016,Male,Yes,Sat,Dinner,2
70.025,50.015,Male,Yes,Sun,Dinner,2
310.085,30.018,Male,Yes,Sun,Dinner,2
160.082,40.00,Male,Yes,Sun,Dinner,2
320.09,30.011,Male,Yes,Sun,Dinner,2
170.089,20.00,Male,Yes,Sun,Dinner,2
140.048,20.00,Male,Yes,Sun,Dinner,2
90.06,40.00,Female,Yes,Sun,Dinner,2
340.063,30.055,Male,Yes,Sun,Dinner,2
340.065,30.068,Male,Yes,Sun,Dinner,4
230.033,50.065,Male,Yes,Sun,Dinner,2
450.035,30.05,Male,Yes,Sun,Dinner,3
230.017,60.05,Male,Yes,Sun,Dinner,4
400.055,30.00,Male,Yes,Sun,Dinner,2
200.069,50.00,Male,No,Sun,Dinner,5
200.09,30.05,Female,Yes,Sun,Dinner,3
300.046,20.00,Male,Yes,Sun,Dinner,5
180.015,30.05,Female,Yes,Sun,Dinner,3
230.01,40.00,Male,Yes,Sun,Dinner,3
150.069,10.05,Male,Yes,Sun,Dinner,2
190.081,40.019,Female,Yes,Thur,Lunch,2
280.044,20.056,Male,Yes,Thur,Lunch,2
150.048,20.002,Male,Yes,Thur,Lunch,2
160.058,40.00,Male,Yes,Thur,Lunch,2
70.056,10.044,Male,No,Thur,Lunch,2
100.034,20.00,Male,Yes,Thur,Lunch,2
430.011,50.00,Female,Yes,Thur,Lunch,4
130.00,20.00,Female,Yes,Thur,Lunch,2
130.051,20.00,Male,Yes,Thur,Lunch,2
180.071,40.00,Male,Yes,Thur,Lunch,3
120.074,20.001,Female,Yes,Thur,Lunch,2
130.00,20.00,Female,Yes,Thur,Lunch,2
160.04,20.05,Female,Yes,Thur,Lunch,2
200.053,40.00,Male,Yes,Thur,Lunch,4
160.047,30.023,Female,Yes,Thur,Lunch,3
260.059,30.041,Male,Yes,Sat,Dinner,3
380.073,30.00,Male,Yes,Sat,Dinner,4
240.027,20.003,Male,Yes,Sat,Dinner,2
120.076,20.023,Female,Yes,Sat,Dinner,2
300.006,20.00,Male,Yes,Sat,Dinner,3
250.089,50.016,Male,Yes,Sat,Dinner,4
480.033,90.00,Male,No,Sat,Dinner,4
130.027,20.05,Female,Yes,Sat,Dinner,2
280.017,60.05,Female,Yes,Sat,Dinner,3
120.09,10.01,Female,Yes,Sat,Dinner,2
280.015,30.00,Male,Yes,Sat,Dinner,5
110.059,10.05,Male,Yes,Sat,Dinner,2
70.074,10.044,Male,Yes,Sat,Dinner,2
300.014,30.009,Female,Yes,Sat,Dinner,4
120.016,20.02,Male,Yes,Fri,Lunch,2
130.042,30.048,Female,Yes,Fri,Lunch,2
80.058,10.092,Male,Yes,Fri,Lunch,1
150.098,30.00,Female,No,Fri,Lunch,3
130.042,10.058,Male,Yes,Fri,Lunch,2
160.027,20.05,Female,Yes,Fri,Lunch,2
100.009,20.00,Female,Yes,Fri,Lunch,2
200.045,30.00,Male,No,Sat,Dinner,4
130.028,20.072,Male,No,Sat,Dinner,2
220.012,20.088,Female,Yes,Sat,Dinner,2
240.001,20.00,Male,Yes,Sat,Dinner,4
150.069,30.00,Male,Yes,Sat,Dinner,3
110.061,30.039,Male,No,Sat,Dinner,2
100.077,10.047,Male,No,Sat,Dinner,2
150.0053,30.00,Male,Yes,Sat,Dinner,2
100.0007,10.025,Male,No,Sat,Dinner,2
120.006,10.00,Male,Yes,Sat,Dinner,2
320.0083,10.017,Male,Yes,Sat,Dinner,2
350.083,40.067,Female,No,Sat,Dinner,3
290.003,50.092,Male,No,Sat,Dinner,3
270.018,20.00,Female,Yes,Sat,Dinner,2
220.067,20.00,Male,Yes,Sat,Dinner,2
170.082,10.075,Male,No,Sat,Dinner,2
180.078,30.00,Female,No,Thur,Dinner,2
